Cleaned_Ancestry,Initial_Ancestry_Sum,Initial_Ancestry_Count,Initial_Ancestry_Sum_%,Initial_Ancestry_Count_%,Replication_Ancestry_Sum,Replication_Ancestry_Count,Replication_Ancestry_Sum_%,Replication_Ancestry_Count_%
East Asian American,2740.0,3.0,0.0010792304850313884,0.02199736031676199,,,,
North Indian,2692.0,4.0,0.0010603242575563858,0.029329813755682648,3956.0,4.0,0.005210629901010018,0.06000600060006001
Sereer,2640.0,5.0,0.0010398425111251331,0.03666226719460332,,,,
Cilento,2506.0,4.0,0.0009870626260907514,0.029329813755682648,1709.0,2.0,0.002251002654404985,0.030003000300030006
South African,2363.0,10.0,0.0009307378234048067,0.07332453438920664,2.0,1.0,2.634292164312446e-06,0.015001500150015003
Micronesian,2346.0,1.0,0.0009240418678407434,0.007332453438920662,,,,
Celtic,2307.0,1.0,0.000908680558017304,0.007332453438920662,,,,
Oceania,2229.0,2.0,0.000877957938370425,0.014664906877841324,1372.0,5.0,0.0018071244247183378,0.075007500750075
Indonesian,2041.0,5.0,0.0008039085474266655,0.03666226719460332,5253.0,7.0,0.00691896836956664,0.10501050105010501
Sirente,2002.0,7.0,0.000788547237603226,0.051327174072444644,,,,
Quebec,1943.0,2.0,0.0007653083329985356,0.014664906877841324,,,,
Black Hispanic,1940.0,4.0,0.000764126693781348,0.029329813755682648,,,,
Moroccan,1851.0,9.0,0.0007290713970047809,0.06599208095028597,1247.0,3.0,0.00164248116444881,0.045004500450045004
Japanese American,1697.0,3.0,0.0006684139171891481,0.02199736031676199,,,,
African American and African Caribbean,1612.0,1.0,0.0006349341393688313,0.007332453438920662,2147.0,1.0,0.0028279126383894105,0.015001500150015003
Surinamese,1553.0,7.0,0.000611695234764141,0.051327174072444644,284.0,1.0,0.0003740694873323673,0.015001500150015003
Iranian,1528.0,4.0,0.0006018482412875771,0.029329813755682648,3210.0,9.0,0.004228038923721475,0.135013501350135
Talana,1488.0,3.0,0.0005860930517250752,0.02199736031676199,2508.0,3.0,0.003303402374047807,0.045004500450045004
African and Asian,1434.0,8.0,0.0005648235458156974,0.058659627511365296,38.0,2.0,5.005155112193648e-05,0.030003000300030006
