,Broader,parentterm,InitialN,ReplicationN,InitialCount,ReplicationCount
0,In Part Not Recorded,All,9.8207417069341,11.576229765985152,9.168298930239565,28.310276679841895
1,In Part Not Recorded,Other measurement,3.93758051863568,6.8598812996386425,8.789424860853433,7.572254335260116
2,In Part Not Recorded,Response to drug,24.34998580214306,17.768163879503703,10.490307867730902,11.11111111111111
3,In Part Not Recorded,Other disease,8.660350751935974,4.3726099433028205,8.311688311688311,11.502347417840376
4,In Part Not Recorded,Digestive system disorder,9.366516486212682,3.014788012053249,5.230769230769231,7.333333333333333
5,In Part Not Recorded,Other trait,4.099727541841788,11.36580771398417,8.90625,7.6923076923076925
6,In Part Not Recorded,Cancer,3.2984489876768754,4.485565842591019,7.928994082840236,7.039711191335741
7,In Part Not Recorded,Liver enzyme measurement,3.122367318217862,31.20450387325314,12.727272727272727,26.31578947368421
8,In Part Not Recorded,Body measurement,6.0469950463637545,8.583021847165515,6.666666666666667,6.474820143884892
9,In Part Not Recorded,Inflammatory measurement,34.600543317513115,16.05409849213988,11.11111111111111,4.3478260869565215
10,In Part Not Recorded,Cardiovascular measurement,1.2752418645819779,14.822471976462873,7.972665148063782,6.046511627906977
11,In Part Not Recorded,Hematological measurement,0.28794090770988495,4.834857187295168,5.8495821727019495,8.403361344537815
12,In Part Not Recorded,Metabolic disorder,8.45376083878675,9.290467122790119,10.353535353535353,5.993690851735016
13,In Part Not Recorded,Lipid or lipoprotein measurement,19.248418152845083,22.58905332048273,7.4964639321074955,4.179104477611941
14,In Part Not Recorded,Cardiovascular disease,26.858987339081352,19.627324221276492,12.4777183600713,6.557377049180328
15,In Part Not Recorded,Neurological disorder,21.349126571155335,29.933451574750393,12.918287937743193,16.153846153846153
16,In Part Not Recorded,Biological process,3.7792318462095484,2.1865593918807242,7.973421926910299,4.659498207885305
17,In Part Not Recorded,Immune system disorder,44.356360882680555,27.695711818854885,11.805555555555555,8.898305084745763
18,Af. Am./Carib.,All,1.5154850499533477,1.4955198920024186,7.834865149917131,25.395256916996047
19,Af. Am./Carib.,Other measurement,1.4251001301053599,1.479716099540625,7.722634508348794,8.323699421965317
20,Af. Am./Carib.,Response to drug,2.3277985970679578,10.361006217881377,11.402508551881414,11.11111111111111
21,Af. Am./Carib.,Other disease,0.7710431969804796,0.8186751835020711,8.571428571428571,4.929577464788732
22,Af. Am./Carib.,Digestive system disorder,0.0978572078703264,1.2064317199307502,3.076923076923077,2.0
23,Af. Am./Carib.,Other trait,0.5586604063312162,0.22902398015792244,5.625,5.384615384615385
24,Af. Am./Carib.,Cancer,0.7858109167320899,1.597490098425233,4.615384615384616,5.776173285198556
25,Af. Am./Carib.,Liver enzyme measurement,0.011942893601729246,0.0,1.8181818181818181,0.0
26,Af. Am./Carib.,Body measurement,2.522852947207288,2.3785942099827992,14.385964912280702,19.06474820143885
27,Af. Am./Carib.,Inflammatory measurement,0.9001597189674236,3.796719602181585,7.07070707070707,4.3478260869565215
28,Af. Am./Carib.,Cardiovascular measurement,2.1692896597605507,2.43736955514807,9.567198177676538,11.627906976744185
29,Af. Am./Carib.,Hematological measurement,3.071317421864827,7.114805639185451,12.813370473537605,8.403361344537815
30,Af. Am./Carib.,Metabolic disorder,1.0905344115592144,1.0239453552650923,7.07070707070707,4.416403785488959
31,Af. Am./Carib.,Lipid or lipoprotein measurement,3.3509287323637262,1.1614206881207734,7.920792079207921,11.044776119402986
32,Af. Am./Carib.,Cardiovascular disease,0.8687706151788763,1.3569447564057435,6.23885918003565,7.868852459016394
33,Af. Am./Carib.,Neurological disorder,0.6264907376691122,0.6167861380793036,6.147859922178988,6.730769230769231
34,Af. Am./Carib.,Biological process,2.6852765442932447,1.6086646796035082,12.12624584717608,18.27956989247312
35,Af. Am./Carib.,Immune system disorder,0.1416192596966179,0.14191382713722409,1.6203703703703702,1.694915254237288
36,Other/Mixed,All,0.8078637009120123,0.9870286759202788,4.602983275576315,14.838603425559949
37,Other/Mixed,Other measurement,0.3973863730579862,0.3951541502459096,4.591836734693878,4.219653179190751
38,Other/Mixed,Response to drug,1.1216419042743955,2.176258482155532,5.473204104903079,6.535947712418301
39,Other/Mixed,Other disease,0.2778477718292656,1.166476428605703,4.675324675324675,3.755868544600939
40,Other/Mixed,Digestive system disorder,0.039214609649539364,0.5610645376405775,2.769230769230769,6.666666666666667
41,Other/Mixed,Other trait,0.8890503973515922,4.540445999639962,4.375,6.153846153846154
42,Other/Mixed,Cancer,0.11779656766804998,2.6322472418680825,1.8934911242603552,5.054151624548736
43,Other/Mixed,Liver enzyme measurement,0.00602524361889043,0.0,1.8181818181818181,0.0
44,Other/Mixed,Body measurement,3.0254295785800767,0.0683017043045163,6.491228070175438,2.5179856115107913
45,Other/Mixed,Inflammatory measurement,1.0567844157971615,13.649943856272056,4.040404040404041,4.3478260869565215
46,Other/Mixed,Cardiovascular measurement,0.40198035136837906,0.017059454454229708,7.744874715261959,6.046511627906977
47,Other/Mixed,Hematological measurement,0.04178629478844698,9.103685023274416,3.3426183844011144,5.042016806722689
48,Other/Mixed,Metabolic disorder,3.355725935958429,1.9490929165745765,3.787878787878788,4.416403785488959
49,Other/Mixed,Lipid or lipoprotein measurement,0.27417676043003436,1.3082584331562603,3.3946251768033946,3.880597014925373
50,Other/Mixed,Cardiovascular disease,1.3273474879880203,1.6667235007703605,10.51693404634581,8.524590163934425
51,Other/Mixed,Neurological disorder,1.0798457507993697,1.5461044421614,3.968871595330739,5.0
52,Other/Mixed,Biological process,1.0453441348097257,0.05232701231044089,4.651162790697675,3.942652329749104
53,Other/Mixed,Immune system disorder,0.12219221169209914,0.34327011261797274,2.5462962962962963,4.23728813559322
54,Asian,All,4.740795173498716,15.628696671302228,17.58324544221787,63.37285902503294
55,Asian,Other measurement,5.058620655979745,21.789642232747667,15.909090909090908,24.335260115606935
56,Asian,Response to drug,1.7409463728901837,7.992036001249255,19.61231470923603,17.973856209150327
57,Asian,Other disease,3.644941725916482,8.109495605750903,18.83116883116883,23.708920187793428
58,Asian,Digestive system disorder,2.1794592118593092,17.457841760062127,23.692307692307693,27.333333333333332
59,Asian,Other trait,2.961239767054011,5.168776495421286,20.0,24.615384615384617
60,Asian,Cancer,4.175163805233503,19.9234758244921,18.698224852071004,25.992779783393498
61,Asian,Liver enzyme measurement,66.41034276104637,39.77091362061583,34.54545454545455,31.57894736842105
62,Asian,Body measurement,4.244166278877836,3.536207774208627,23.333333333333332,16.18705035971223
63,Asian,Inflammatory measurement,7.535231455990826,4.128569136990696,10.1010101010101,13.043478260869565
64,Asian,Cardiovascular measurement,13.12930493406322,17.210652070991113,16.62870159453303,18.6046511627907
65,Asian,Hematological measurement,13.012486543641346,13.217812982569185,14.484679665738161,16.80672268907563
66,Asian,Metabolic disorder,6.318519589861368,27.97698728818876,20.454545454545457,44.164037854889585
67,Asian,Lipid or lipoprotein measurement,4.704522789245032,21.260267353071146,20.226308345120223,37.014925373134325
68,Asian,Cardiovascular disease,2.8078022385419144,9.8215390355882,17.290552584670234,22.62295081967213
69,Asian,Neurological disorder,1.9921992436644105,5.2108438999664015,13.69649805447471,19.615384615384617
70,Asian,Biological process,2.0052905391173623,17.29732545212343,16.11295681063123,23.655913978494624
71,Asian,Immune system disorder,2.2472216000025265,15.813087388481218,20.13888888888889,30.93220338983051
72,European,All,81.7228741860344,68.59450078536187,52.2675907789664,160.07905138339922
73,European,Other measurement,87.66794646121924,67.38894594679597,53.7569573283859,47.28323699421965
74,European,Response to drug,65.33477246785647,56.09366571079754,44.355758266818704,38.88888888888889
75,European,Other disease,85.81983208294662,84.38549709751867,48.96103896103896,44.36619718309859
76,European,Digestive system disorder,87.1709979580207,74.7801351978299,56.00000000000001,47.333333333333336
77,European,Other trait,90.70042510948737,78.21813107490078,52.5,49.23076923076923
78,European,Cancer,91.13100917523793,70.68173135233165,63.19526627218936,52.166064981949454
79,European,Liver enzyme measurement,29.31894304315688,29.02458250613103,38.18181818181819,42.10526315789473
80,European,Body measurement,83.1882535953244,85.15688307692734,38.771929824561404,50.35971223021583
81,European,Inflammatory measurement,53.63294670118902,50.681745267885795,55.55555555555556,56.52173913043478
82,European,Cardiovascular measurement,77.4306432378828,63.92542557905263,44.874715261959,51.627906976744185
83,European,Hematological measurement,80.28919680701217,57.686852639803874,44.28969359331476,47.05882352941176
84,European,Metabolic disorder,80.06688315016484,58.29899860666479,54.04040404040404,35.96214511041009
85,European,Lipid or lipoprotein measurement,70.48568441999174,49.833660034920186,50.21216407355021,29.253731343283583
86,European,Cardiovascular disease,67.09328033173058,67.00136317302264,46.524064171122994,48.52459016393443
87,European,Neurological disorder,74.56528473926802,62.242902601829066,59.61089494163424,48.46153846153846
88,European,Biological process,89.58743097233938,75.68037746661716,49.83388704318937,37.27598566308244
89,European,Immune system disorder,52.970960810177594,55.97558055406532,58.56481481481482,52.54237288135594
90,Hispanic/L.A.,All,1.0415156034318387,1.4441566450037093,6.13982220882929,18.988801054018445
91,Hispanic/L.A.,Other measurement,1.08957425837819,1.6925649567312826,7.421150278293136,6.416184971098265
92,Hispanic/L.A.,Response to drug,4.987291405242696,5.156014877487863,5.245153933865451,9.15032679738562
93,Hispanic/L.A.,Other disease,0.6738031388732032,0.6625138510044143,7.012987012987012,6.103286384976526
94,Hispanic/L.A.,Digestive system disorder,0.7699592593471998,0.6196336616586222,5.538461538461538,3.3333333333333335
95,Hispanic/L.A.,Other trait,0.7249038730450286,0.4156611692283075,5.78125,5.384615384615385
96,Hispanic/L.A.,Cancer,0.38657814313169303,0.6054662281695697,2.366863905325444,3.2490974729241873
97,Hispanic/L.A.,Liver enzyme measurement,1.1303787403582652,0.0,10.909090909090908,0.0
98,Hispanic/L.A.,Body measurement,0.9576381570521502,0.055235149456673564,9.824561403508772,1.7985611510791366
99,Hispanic/L.A.,Inflammatory measurement,1.6082926451918218,10.775585498877126,8.080808080808081,8.695652173913043
100,Hispanic/L.A.,Cardiovascular measurement,3.4274192350450177,1.4146429581258058,8.88382687927107,4.651162790697675
101,Hispanic/L.A.,Hematological measurement,1.7887983354135712,7.984031936127744,6.406685236768802,12.605042016806722
102,Hispanic/L.A.,Metabolic disorder,0.6694747684810042,1.1258959280574474,4.040404040404041,4.73186119873817
103,Hispanic/L.A.,Lipid or lipoprotein measurement,1.6947374515715925,3.6747898823056158,8.628005657708627,11.343283582089553
104,Hispanic/L.A.,Cardiovascular disease,0.5913988311558653,0.4094873685969689,4.991087344028521,4.590163934426229
105,Hispanic/L.A.,Neurological disorder,0.29802432160568215,0.2773194965304414,1.4785992217898831,2.1153846153846154
106,Hispanic/L.A.,Biological process,0.8831528553000872,3.0472244670042703,8.637873754152823,8.960573476702509
107,Hispanic/L.A.,Immune system disorder,0.13557553119745427,0.003116970363479082,2.7777777777777777,0.423728813559322
108,African,All,0.3507245792355804,0.2738675644243384,2.4031942142534275,7.625164690382082
109,African,Other measurement,0.4237916026237914,0.3940953142998962,1.8089053803339517,1.8497109826589597
110,African,Response to drug,0.13756345052523106,0.45285483092473244,3.4207525655644244,5.228758169934641
111,African,Other disease,0.1521813315179806,0.48473189031542224,3.6363636363636362,5.633802816901409
112,African,Digestive system disorder,0.37599526704023806,2.3601051108247733,3.6923076923076925,6.0
113,African,Other trait,0.06599290488899842,0.062153566667568716,2.8125,1.5384615384615385
114,African,Cancer,0.10519240431985935,0.07402341212233832,1.301775147928994,0.7220216606498195
115,African,Liver enzyme measurement,0.0,0.0,0.0,0.0
116,African,Body measurement,0.01466439659449187,0.22175623795452465,0.5263157894736842,3.597122302158273
117,African,Inflammatory measurement,0.6660417453506309,0.9133381456528713,4.040404040404041,8.695652173913043
