index,European,Asian,Other/Mixed,African Am./Caribbean,Hispanic/Latin American,African,
2007,68.96551724137932,6.896551724137931,10.344827586206897,4.597701149425287,8.045977011494253,1.1494252873563218,0.0
2008,83.80281690140845,8.450704225352112,4.929577464788732,2.8169014084507045,0.0,0.0,0.0
2009,68.63636363636364,16.818181818181817,5.909090909090909,4.545454545454546,2.272727272727273,1.8181818181818181,0.0
2010,64.07407407407408,22.22222222222222,7.777777777777778,2.9629629629629632,1.8518518518518516,1.1111111111111112,0.0
2011,59.133126934984524,24.458204334365323,5.263157894736842,6.5015479876160995,2.476780185758514,2.1671826625387,0.0
2012,53.92156862745098,31.372549019607842,4.248366013071895,5.555555555555555,3.2679738562091507,1.6339869281045754,0.0
2013,49.45355191256831,28.415300546448087,6.830601092896176,8.19672131147541,5.737704918032787,1.366120218579235,0.0
2014,56.655290102389074,28.327645051194537,4.778156996587031,6.143344709897611,3.4129692832764507,0.6825938566552902,0.0
2015,46.403712296983755,29.698375870069604,6.496519721577726,9.280742459396752,4.640371229698376,3.480278422273782,0.0
2016,47.19387755102041,25.510204081632654,6.377551020408164,11.73469387755102,7.142857142857142,2.0408163265306123,0.0
2017,50.45871559633027,19.816513761467892,3.486238532110092,12.660550458715598,9.724770642201836,3.853211009174312,0.0
2018,36.39575971731448,39.57597173144876,5.477031802120141,8.12720848056537,7.420494699646643,3.0035335689045937,0.0
2019,41.76829268292683,32.6219512195122,2.1341463414634148,12.5,8.536585365853659,2.4390243902439024,0.0
