index,European,Other/Mixed,Asian,African Am./Caribbean,Hispanic/Latin American,African,
2007,68.96551724137932,10.344827586206897,6.896551724137931,4.597701149425287,8.045977011494253,1.1494252873563218,0.0
2008,83.80281690140845,4.929577464788732,8.450704225352112,2.8169014084507045,0.0,0.0,0.0
2009,70.25862068965517,5.603448275862069,15.948275862068966,4.310344827586207,2.1551724137931036,1.7241379310344827,0.0
2010,64.07407407407408,7.777777777777778,22.22222222222222,2.9629629629629632,1.8518518518518516,1.1111111111111112,0.0
2011,59.133126934984524,5.263157894736842,24.458204334365323,6.5015479876160995,2.476780185758514,2.1671826625387,0.0
2012,53.92156862745098,4.248366013071895,31.372549019607842,5.555555555555555,3.2679738562091507,1.6339869281045754,0.0
2013,49.45355191256831,6.830601092896176,28.415300546448087,8.19672131147541,5.737704918032787,1.366120218579235,0.0
2014,56.655290102389074,4.778156996587031,28.327645051194537,6.143344709897611,3.4129692832764507,0.6825938566552902,0.0
2015,46.171171171171174,6.531531531531531,30.180180180180184,9.234234234234235,4.504504504504505,3.3783783783783785,0.0
2016,47.07379134860051,6.361323155216285,25.699745547073793,11.704834605597965,7.124681933842239,2.035623409669211,0.0
2017,51.2589928057554,3.41726618705036,19.424460431654676,12.589928057553957,9.532374100719425,3.776978417266187,0.0
2018,36.443661971830984,5.457746478873239,39.61267605633803,8.098591549295776,7.394366197183098,2.992957746478873,0.0
2019,45.11873350923483,1.8469656992084433,30.343007915567284,12.137203166226913,7.9155672823219,2.638522427440633,0.0
