index,European,Other/Mixed,Asian,African Am./Caribbean,Hispanic/Latin American,African,
2007,98.90126958952936,0.45044676798312666,0.41897271976651984,0.0,0.22931092272099277,0.0,0.0
2008,97.5664025969838,1.1476135520808803,0.98217505210873,0.2999000333222259,0.003908765504362671,0.0,0.0
2009,92.43317220287824,2.477434470783772,4.251117915443043,0.5090559900190397,0.1486460682470263,0.18057335262887417,0.0
2010,87.97454517803168,2.4213764740920984,8.655558301491043,0.5977162265776983,0.06983125170300807,0.28097256810448074,0.0
2011,83.19702204042856,0.7954847436038864,11.331277045535316,4.240955326822564,0.29220165902083484,0.1430591845888438,0.0
2012,75.94309504319803,2.240739553194994,13.69823121348035,6.854799060972651,1.1125990360761029,0.15053609307787968,0.0
2013,87.08251895694288,0.37306074251709204,6.695756666660599,4.5797433518468065,0.9295774021145368,0.3393428799180901,0.0
2014,81.13150021147972,0.767174775993313,13.078330080228376,2.562799433524502,1.1327277982561572,1.32746770051793,0.0
2015,91.39813857077934,0.47707863366324416,6.046903135900921,1.025290651246608,0.8785169983254265,0.17407201008445528,0.0
2016,93.60905504794921,0.10877841722726947,2.806124382378543,1.7298685181861844,1.6111297262151987,0.13504390804359537,0.0
2017,90.25787450700095,0.6014201748207982,4.7802395023371895,1.7718041183225866,2.028986367840624,0.5596753296778596,0.0
2018,89.21342578830173,0.573686464471013,8.103991927399948,0.9226439985932136,0.6571384539053857,0.5291133673286988,0.0
2019,92.8657645468205,1.684862256925252,2.6942255740603938,1.3533438516959417,1.2618170378516635,0.139986732646251,0.0
