index,European,Other/Mixed,Asian,In Part Not Recorded,African Am./Caribbean,Hispanic/Latin American,African
2007,86.82443706826949,0.3954427200143536,0.3678119673454741,12.21099847492599,0.0,0.20130976944469364,0.0
2008,97.2056362381333,1.1433700794147628,0.9785433130277401,0.369764949047792,0.2987911081168177,0.0038943122595870667,0.0
2009,89.81836579329831,2.4073512811762434,4.130859677969783,2.8288614869137936,0.4946555011705634,0.1444410768705746,0.1754651826007269
2010,86.32655688041905,2.3760178980932913,8.49341755087625,1.8732558313062424,0.586519472508668,0.06852313370840732,0.27570923308809264
2011,82.09962534079511,0.7849920323165106,11.181813690628694,1.3190336297135425,4.185015699840646,0.2883474208717691,0.14117218583372299
2012,73.8196311759932,2.178085674335833,13.315211545794995,2.7961250012222427,6.663130310645246,1.0814893762650213,0.1463269157434659
2013,77.70634637869338,0.33289330195718303,5.974824718428652,10.766997430202323,4.086642502843599,0.8294898271171232,0.30280584075773476
2014,79.13072005552051,0.7482555144985935,12.755805989962596,2.4660953522909392,2.4995983558058157,1.1047936506692546,1.2947310812522939
2015,88.35245146419935,0.4611808017588481,5.845400400683952,3.3323294699501944,0.9911245887224729,0.8492419174917064,0.16827135719347627
2016,87.21121436626258,0.10134380545098755,2.6143359200096183,6.834638677219283,1.6116382553771913,1.5010148308071176,0.12581414487321935
2017,82.28064127365815,0.5482650453433013,4.35774910324825,8.838268435762945,1.6152073141893337,1.8496591061258332,0.5102097216721891
2018,82.84240850383716,0.5327176713918051,7.525259834260255,7.141321194841946,0.8567550271687392,0.6102100862171838,0.49132768228291257
2019,86.81190809951451,1.5790393466577024,2.518590829204566,6.514920314441847,1.265120280372403,1.1795600376837756,0.13086109212518965
