index,European,Other/Mixed,Asian,In Part Not Recorded,African Am./Caribbean,Hispanic/Latin American,African
2007,71.1864406779661,1.694915254237288,2.5423728813559325,23.728813559322035,0.0,0.847457627118644,0.0
2008,82.9896907216495,4.639175257731959,4.639175257731959,3.0927835051546393,3.608247422680412,1.0309278350515463,0.0
2009,69.96699669966998,5.6105610561056105,11.221122112211221,6.270627062706271,3.9603960396039604,1.9801980198019802,0.9900990099009901
2010,62.612612612612615,5.63063063063063,17.34234234234234,4.954954954954955,5.405405405405405,2.2522522522522523,1.8018018018018018
2011,58.777120315581854,2.9585798816568047,21.893491124260358,4.339250493096647,8.086785009861932,1.5779092702169626,2.366863905325444
2012,56.75182481751825,3.832116788321168,19.525547445255476,4.744525547445255,10.401459854014599,3.832116788321168,0.9124087591240875
2013,54.761904761904766,4.285714285714286,23.333333333333332,4.761904761904762,7.142857142857142,4.761904761904762,0.9523809523809524
2014,52.951096121416526,5.396290050590219,20.9106239460371,7.082630691399664,7.082630691399664,4.721753794266442,1.854974704890388
2015,50.88967971530249,6.168446026097272,17.319098457888494,10.083036773428232,6.405693950177936,6.761565836298933,2.372479240806643
2016,55.522682445759365,1.8737672583826428,14.595660749506903,7.6923076923076925,10.453648915187378,7.297830374753452,2.564102564102564
2017,51.36281041792853,4.845548152634767,16.293155663234405,9.327680193821926,8.0557238037553,7.7528770442156265,2.3622047244094486
2018,49.07749077490775,4.797047970479705,22.24565102793885,9.014232999472851,6.852925672113865,4.849762783342119,3.16288877174486
2019,48.5645933014354,7.655502392344498,15.151515151515152,8.692185007974482,9.090909090909092,9.011164274322168,1.8341307814992027
